0,1,2,3,4,5,6,7
15:39,26:07:00,YES,YES,34:42:00,0,YES,NO
33:44:00,0,YES,NO,27:56:00,27:32:00,YES,YES
34:31:00,26:55:00,YES,YES,33:06:00,34:16:00,YES,YES
33:35:00,34:48:00,YES,YES,35:15:00,31:33:00,YES,YES
27:01:00,29:54:00,YES,YES,Did Not Play,34:05:00,YES,YES
33:23:00,14:37,YES,YES,36:12:00,33:50:00,YES,YES
33:20:00,27:02:00,YES,YES,0,27:38:00,NO,YES
0,34:38:00,NO,YES,26:29:00,34:35:00,YES,YES
Did Not Dress,29:16:00,YES,YES,0,34:33:00,NO,YES
Did Not Play,38:45:00,YES,YES,34:21:00,0,YES,NO
30:11:00,24:09:00,YES,YES,37:06:00,37:08:00,YES,YES
13:14,35:30:00,YES,YES,33:39:00,41:46:00,YES,YES
39:53:00,32:15:00,YES,YES,38:07:00,22:27,YES,YES
30:08:00,0,YES,NO,33:02:00,0,YES,NO
15:17,38:15:00,YES,YES,0,27:34:00,NO,YES
0,Did Not Play,NO,YES,25:30:00,24:09:00,YES,YES
33:17:00,0,YES,NO,32:26:00,29:54:00,YES,YES
10:50,27:51:00,YES,YES,34:38:00,0,YES,NO
29:48:00,24:26:00,YES,YES,27:47:00,33:03:00,YES,YES
35:20:00,37:37:00,YES,YES,32:49:00,15:11,YES,YES
37:06:00,34:53:00,YES,YES,32:26:00,33:25:00,YES,YES
40:34:00,38:44:00,YES,YES,37:37:00,31:29:00,YES,YES
0,0,NO,NO,35:49:00,0,YES,NO
0,32:30:00,NO,YES,Did Not Play,37:22:00,YES,YES
31:40:00,0,YES,NO,32:45:00,17:38,YES,YES
21:54,35:45:00,YES,YES,42:13:00,34:23:00,YES,YES
26:17:00,0,YES,NO,0,25:19:00,NO,YES
34:25:00,33:17:00,YES,YES,29:25:00,25:50:00,YES,YES
35:14:00,35:37:00,YES,YES,31:46:00,26:47:00,YES,YES
32:44:00,35:44:00,YES,YES,27:36:00,31:57:00,YES,YES
25:26:00,26:04:00,YES,YES,28:29:00,27:34:00,YES,YES
32:10:00,12:02,YES,YES,35:30:00,38:06:00,YES,YES
0,Did Not Play,NO,YES,34:33:00,34:59:00,YES,YES
42:20:00,33:59:00,YES,YES,28:01:00,34:57:00,YES,YES
Did Not Play,38:27:00,YES,YES,38:37:00,11:35,YES,YES
34:44:00,34:24:00,YES,YES,24:47:00,38:45:00,YES,YES
0,34:28:00,NO,YES,35:01:00,0,YES,NO
40:09:00,0,YES,NO,41:23:00,0,YES,NO
31:14:00,34:00:00,YES,YES,23:52,31:21:00,YES,YES
30:04:00,25:33:00,YES,YES,25:43:00,26:33:00,YES,YES
36:30:00,0,YES,NO,Did Not Play,35:53:00,YES,YES
34:42:00,38:50:00,YES,YES,25:14:00,32:38:00,YES,YES
0,26:11:00,NO,YES,27:12:00,0,YES,NO
0,36:39:00,NO,YES,Did Not Play,36:14:00,YES,YES
34:26:00,33:41:00,YES,YES,41:17:00,37:44:00,YES,YES
0,31:44:00,NO,YES,19:01,31:48:00,YES,YES
36:24:00,0,YES,NO,41:10:00,28:24:00,YES,YES
Did Not Play,33:09:00,YES,YES,32:20:00,34:20:00,YES,YES
0,35:12:00,NO,YES,27:51:00,28:00:00,YES,YES
0,34:17:00,NO,YES,Did Not Play,31:54:00,YES,YES
0,37:26:00,NO,YES,31:19:00,20:00,YES,YES
26:10:00,30:06:00,YES,YES,33:00:00,30:08:00,YES,YES
31:47:00,16:13,YES,YES,34:34:00,0,YES,NO
27:31:00,0,YES,NO,34:28:00,0,YES,NO
16:46,34:10:00,YES,YES,31:05:00,34:07:00,YES,YES
31:57:00,40:42:00,YES,YES,39:49:00,0,YES,NO
27:15:00,22:55,YES,YES,29:56:00,31:22:00,YES,YES
0,34:09:00,NO,YES,38:30:00,0,YES,NO
32:37:00,35:08:00,YES,YES,35:13:00,36:02:00,YES,YES
34:55:00,27:37:00,YES,YES,0,Did Not Dress,NO,YES
28:28:00,28:00:00,YES,YES,34:31:00,30:17:00,YES,YES
29:39:00,22:45,YES,YES,24:53:00,24:56:00,YES,YES
0,29:40:00,NO,YES,35:09:00,31:14:00,YES,YES
30:44:00,25:15:00,YES,YES,0,37:04:00,NO,YES
0,39:10:00,NO,YES,24:07:00,31:23:00,YES,YES
30:18:00,30:36:00,YES,YES,32:54:00,29:33:00,YES,YES
19:46,0,YES,NO,32:19:00,36:54:00,YES,YES
30:40:00,23:45,YES,YES,30:04:00,0,YES,NO
Did Not Play,39:45:00,YES,YES,35:15:00,36:27:00,YES,YES
Did Not Dress,29:31:00,YES,YES,33:59:00,33:46:00,YES,YES
35:06:00,0,YES,NO,35:12:00,19:33,YES,YES
30:30:00,15:36,YES,YES,34:15:00,32:58:00,YES,YES
39:42:00,29:48:00,YES,YES,0,38:06:00,NO,YES
37:11:00,37:35:00,YES,YES,0,40:09:00,NO,YES
25:09:00,24:40:00,YES,YES,29:38:00,22:27,YES,YES
36:12:00,30:30:00,YES,YES,0,23:38,NO,YES
37:03:00,31:32:00,YES,YES,0,25:18:00,NO,YES
0,37:28:00,NO,YES,31:44:00,21:52,YES,YES
39:33:00,0,YES,NO,0,33:49:00,NO,YES
32:03:00,23:17,YES,YES,31:15:00,30:46:00,YES,YES
35:27:00,37:41:00,YES,YES,29:22:00,35:11:00,YES,YES
42:39:00,0,YES,NO,41:54:00,38:58:00,YES,YES
35:53:00,37:01:00,YES,YES,31:48:00,31:02:00,YES,YES
0,19:18,NO,YES,27:46:00,24:19:00,YES,YES
0,36:15:00,NO,YES,28:57:00,24:14:00,YES,YES
30:30:00,25:07:00,YES,YES,35:04:00,31:26:00,YES,YES
37:33:00,33:52:00,YES,YES,0,37:45:00,NO,YES
38:02:00,34:11:00,YES,YES,36:41:00,29:58:00,YES,YES
30:23:00,22:04,YES,YES,27:24:00,24:36:00,YES,YES
36:29:00,36:53:00,YES,YES,36:37:00,0,YES,NO
32:19:00,37:46:00,YES,YES,33:16:00,37:46:00,YES,YES
31:23:00,0,YES,NO,30:41:00,26:41:00,YES,YES
19:58,28:32:00,YES,YES,19:37,16:06,YES,YES
35:15:00,33:27:00,YES,YES,0,24:22:00,NO,YES
0,0,NO,NO,35:43:00,12:17,YES,YES
37:24:00,33:18:00,YES,YES,19:31,33:41:00,YES,YES
32:41:00,27:49:00,YES,YES,35:50:00,36:25:00,YES,YES
25:04:00,0,YES,NO,21:56,18:53,YES,YES
33:06:00,28:00:00,YES,YES,0,40:27:00,NO,YES
0,23:23,NO,YES,0,34:34:00,NO,YES
28:25:00,30:44:00,YES,YES,34:36:00,0,YES,NO
34:39:00,30:40:00,YES,YES,26:28:00,27:18:00,YES,YES
0,38:23:00,NO,YES,18:25,38:49:00,YES,YES
36:27:00,35:59:00,YES,YES,29:54:00,33:50:00,YES,YES
0,Did Not Dress,NO,YES,33:51:00,0,YES,NO
29:50:00,32:28:00,YES,YES,Did Not Play,0,YES,NO
23:28,25:19:00,YES,YES,21:58,17:40,YES,YES
35:07:00,37:23:00,YES,YES,32:47:00,0,YES,NO
23:38,21:45,YES,YES,21:30,30:12:00,YES,YES
0,35:04:00,NO,YES,41:51:00,0,YES,NO
28:29:00,17:34,YES,YES,0,36:53:00,NO,YES
41:08:00,37:20:00,YES,YES,38:58:00,40:46:00,YES,YES
48:31:00,48:25:00,YES,YES,40:54:00,Did Not Play,YES,YES
36:32:00,36:53:00,YES,YES,34:24:00,35:44:00,YES,YES
29:54:00,25:36:00,YES,YES,28:08:00,29:50:00,YES,YES
0,24:36:00,NO,YES,17:38,35:54:00,YES,YES
27:55:00,25:28:00,YES,YES,30:49:00,25:19:00,YES,YES
0,29:59:00,NO,YES,0,27:31:00,NO,YES
0,28:55:00,NO,YES,37:15:00,0,YES,NO
37:14:00,37:50:00,YES,YES,33:58:00,31:27:00,YES,YES
28:53:00,0,YES,NO,33:32:00,32:36:00,YES,YES
35:20:00,31:14:00,YES,YES,33:25:00,28:43:00,YES,YES
37:14:00,10:43,YES,YES,31:39:00,29:16:00,YES,YES
26:03:00,29:28:00,YES,YES,27:01:00,33:04:00,YES,YES
33:11:00,0,YES,NO,37:27:00,33:32:00,YES,YES
35:10:00,35:59:00,YES,YES,38:09:00,Did Not Dress,YES,YES
24:44:00,22:11,YES,YES,29:56:00,21:26,YES,YES
40:24:00,35:25:00,YES,YES,36:21:00,41:50:00,YES,YES
0,42:27:00,NO,YES,0,30:24:00,NO,YES
0,22:07,NO,YES,22:54,33:36:00,YES,YES
0,29:12:00,NO,YES,0,31:50:00,NO,YES
34:16:00,32:24:00,YES,YES,31:55:00,25:43:00,YES,YES
30:40:00,34:05:00,YES,YES,29:53:00,28:37:00,YES,YES
0,30:18:00,NO,YES,34:11:00,34:58:00,YES,YES
39:15:00,0,YES,NO,36:27:00,36:33:00,YES,YES
37:01:00,15:19,YES,YES,37:21:00,36:24:00,YES,YES
29:30:00,23:34,YES,YES,26:21:00,25:29:00,YES,YES
44:41:00,0,YES,NO,39:42:00,34:53:00,YES,YES
32:09:00,33:45:00,YES,YES,40:44:00,32:05:00,YES,YES
0,25:28:00,NO,YES,26:11:00,19:41,YES,YES
38:21:00,0,YES,NO,25:02:00,35:25:00,YES,YES
20:03,22:19,YES,YES,0,25:39:00,NO,YES
0,37:11:00,NO,YES,39:04:00,37:15:00,YES,YES
20:45,Did Not Dress,YES,YES,30:40:00,32:58:00,YES,YES
33:39:00,32:47:00,YES,YES,0,29:45:00,NO,YES
35:00:00,0,YES,NO,20:58,34:08:00,YES,YES
40:33:00,40:03:00,YES,YES,44:11:00,40:55:00,YES,YES
36:28:00,37:45:00,YES,YES,30:29:00,39:10:00,YES,YES
31:37:00,25:11:00,YES,YES,36:14:00,0,YES,NO
32:15:00,0,YES,NO,35:02:00,37:12:00,YES,YES
31:14:00,28:00:00,YES,YES,38:34:00,31:56:00,YES,YES
35:39:00,9:30,YES,YES,39:16:00,27:51:00,YES,YES
0,29:44:00,NO,YES,35:50:00,30:19:00,YES,YES
26:48:00,35:30:00,YES,YES,29:38:00,29:10:00,YES,YES
38:46:00,38:31:00,YES,YES,34:16:00,24:48:00,YES,YES
36:18:00,0,YES,NO,39:53:00,36:05:00,YES,YES
0,32:01:00,NO,YES,34:43:00,29:15:00,YES,YES
34:04:00,28:22:00,YES,YES,0,36:51:00,NO,YES
34:43:00,12:08,YES,YES,0,36:15:00,NO,YES
30:24:00,28:26:00,YES,YES,33:00:00,35:16:00,YES,YES
27:16:00,29:27:00,YES,YES,0,33:23:00,NO,YES
36:46:00,Did Not Dress,YES,YES,22:23,35:31:00,YES,YES
41:08:00,0,YES,NO,41:44:00,43:31:00,YES,YES
33:10:00,5:11,YES,YES,31:06:00,37:12:00,YES,YES
27:19:00,25:41:00,YES,YES,28:59:00,25:38:00,YES,YES
41:16:00,36:31:00,YES,YES,32:01:00,33:31:00,YES,YES
37:05:00,35:16:00,YES,YES,34:50:00,29:18:00,YES,YES
36:36:00,37:55:00,YES,YES,0,33:59:00,NO,YES
32:28:00,29:20:00,YES,YES,35:13:00,35:12:00,YES,YES
20:07,37:04:00,YES,YES,0,26:11:00,NO,YES
31:44:00,0,YES,NO,25:29:00,22:44,YES,YES
36:27:00,36:19:00,YES,YES,36:26:00,11:25,YES,YES
25:13:00,33:23:00,YES,YES,0,39:17:00,NO,YES
0,32:38:00,NO,YES,0,30:50:00,NO,YES
35:05:00,28:08:00,YES,YES,24:57:00,0,YES,NO
29:53:00,38:08:00,YES,YES,0,39:29:00,NO,YES
36:05:00,36:29:00,YES,YES,33:52:00,36:20:00,YES,YES
38:33:00,26:00:00,YES,YES,39:08:00,39:13:00,YES,YES
33:39:00,29:30:00,YES,YES,29:39:00,25:46:00,YES,YES
37:33:00,35:07:00,YES,YES,31:01:00,28:13:00,YES,YES
38:24:00,37:26:00,YES,YES,37:09:00,35:21:00,YES,YES
36:14:00,34:32:00,YES,YES,0,24:35:00,NO,YES
0,33:33:00,NO,YES,31:03:00,37:30:00,YES,YES
31:59:00,32:09:00,YES,YES,37:22:00,0,YES,NO
23:59,37:02:00,YES,YES,35:15:00,23:35,YES,YES
26:46:00,35:04:00,YES,YES,19:25,0,YES,NO
0,0,NO,NO,36:24:00,35:25:00,YES,YES
37:11:00,31:32:00,YES,YES,35:15:00,11:40,YES,YES
25:15:00,30:38:00,YES,YES,26:37:00,0,YES,NO
33:59:00,37:08:00,YES,YES,0,Did Not Play,NO,YES
0,25:11:00,NO,YES,34:33:00,38:54:00,YES,YES
0,32:52:00,NO,YES,36:06:00,36:14:00,YES,YES
33:57:00,0,YES,NO,28:44:00,28:27:00,YES,YES
43:01:00,37:30:00,YES,YES,1:40,39:57:00,YES,YES
25:54:00,27:26:00,YES,YES,23:59,22:40,YES,YES
33:46:00,30:45:00,YES,YES,34:53:00,32:46:00,YES,YES
15:20,26:57:00,YES,YES,38:28:00,0,YES,NO
29:26:00,28:09:00,YES,YES,0,26:54:00,NO,YES
29:18:00,37:20:00,YES,YES,34:04:00,25:20:00,YES,YES
35:28:00,36:56:00,YES,YES,36:27:00,0,YES,NO
0,28:47:00,NO,YES,0,21:59,NO,YES
24:34:00,36:20:00,YES,YES,35:48:00,32:37:00,YES,YES
25:54:00,0,YES,NO,0,26:10:00,NO,YES
37:12:00,0,YES,NO,Did Not Play,28:33:00,YES,YES
25:17:00,32:05:00,YES,YES,35:31:00,36:41:00,YES,YES
30:47:00,37:57:00,YES,YES,36:13:00,40:14:00,YES,YES
38:54:00,43:27:00,YES,YES,24:39:00,32:11:00,YES,YES
0,32:35:00,NO,YES,34:23:00,28:26:00,YES,YES
34:29:00,37:40:00,YES,YES,36:04:00,28:05:00,YES,YES
36:47:00,31:19:00,YES,YES,0,Did Not Dress,NO,YES
21:33,29:43:00,YES,YES,31:25:00,38:00:00,YES,YES
0,34:54:00,NO,YES,34:34:00,33:18:00,YES,YES
41:20:00,0,YES,NO,29:14:00,22:46,YES,YES
0,34:35:00,NO,YES,0,41:06:00,NO,YES
