"","code"
"515","2020120SAC"
"516","2020120LAC"
"517","2020130BOS"
"518","2020130ORL"
"519","2020130WAS"
"520","2020130HOU"
"521","2020130PHO"
"522","2020130LAL"
"523","2020140LAC"
"524","2020140BRK"
"525","2020140ORL"
"526","2020140ATL"
"527","2020140CLE"
"528","2020140CHI"
"529","2020140WAS"
"530","2020140DAL"
"531","2020140GSW"
"532","2020140MIL"
"533","2020140SAC"
"534","2020150LAC"
"535","2020150MIA"
"536","2020150CLE"
"537","2020150PHO"
"538","2020150LAL"
"539","2020160CHO"
"540","2020160ORL"
"541","2020160PHI"
"542","2020160WAS"
"543","2020160ATL"
"544","2020160NOP"
"545","2020160DAL"
"546","2020160SAS"
"547","2020160SAC"
"548","2020170CLE"
"549","2020170TOR"
"550","2020170BRK"
"551","2020170MEM"
"552","2020170PHO"
"553","2020170LAL"
"554","2020180BOS"
"555","2020180CHO"
"556","2020180IND"
"557","2020180ORL"
"558","2020180ATL"
"559","2020180DAL"
"560","2020180NOP"
"561","2020180UTA"
"562","2020180GSW"
"563","2020190DET"
"564","2020190PHI"
"565","2020190MIN"
"566","2020190OKC"
"567","20201100WAS"
"568","20201100NYK"
"569","20201100BRK"
"570","20201100CHI"
"571","20201100MEM"
"572","20201100PHO"
"573","20201100UTA"
"574","20201100DAL"
"575","20201100SAC"
"576","20201100LAC"
"577","20201110HOU"
"578","20201110BOS"
"579","20201110DET"
"580","20201110OKC"
"581","20201110DAL"
"582","20201110DEN"
"583","20201110POR"
"584","20201120NYK"
"585","20201120WAS"
"586","20201120BRK"
"587","20201120MEM"
"588","20201120TOR"
"589","20201120DEN"
"590","20201120PHO"
"591","20201130DET"
"592","20201130IND"
"593","20201130BOS"
"594","20201130MIN"
"595","20201130POR"
"596","20201130SAC"
"597","20201130LAL"
"598","20201140ATL"
"599","20201140BRK"
"600","20201140MEM"
"601","20201140MIL"
"602","20201140GSW"
"603","20201140LAC"
"604","20201150BOS"
"605","20201150PHI"
"606","20201150MIA"
"607","20201150CHI"
"608","20201150MIN"
"609","20201150OKC"
"610","20201150DEN"
"611","20201150HOU"
"612","20201150SAC"
"613","20201150LAL"
"614","20201160NYK"
"615","20201160MIL"
"616","20201160NOP"
"617","20201160GSW"
"618","20201160LAC"
"619","20201170IND"
"620","20201170PHI"
"621","20201170TOR"
"622","20201170MEM"
"623","20201170OKC"
"624","20201170SAS"
"625","20201170DAL"
"626","20201180NOP"
"627","20201180BRK"
"628","20201180BOS"
"629","20201180ATL"
"630","20201180NYK"
"631","20201180CHI"
"632","20201180MIN"
"633","20201180GSW"
"634","20201180HOU"
"635","20201180OKC"
"636","20201180UTA"
"637","20201190SAS"
"638","20201190DEN"
"639","20201200WAS"
"640","20201200ATL"
"641","20201200BRK"
"642","20201200CHO"
"643","20201200CLE"
"644","20201200HOU"
"645","20201200MEM"
"646","20201200MIA"
"647","20201200MIL"
"648","20201200BOS"
"649","20201200MIN"
"650","20201200PHO"
