"","year","month","day","start","visitor","pts_visitor","home","pts_home","attend","acr","zer","code"
"98",2019,"11","05","7:00p","Boston Celtics",119,"Cleveland Cavaliers",113,17.709,"CLE",0,"201911050CLE"
"99",2019,"11","05","7:30p","San Antonio Spurs",100,"Atlanta Hawks",108,14.025,"ATL",0,"201911050ATL"
"100",2019,"11","05","8:00p","Los Angeles Lakers",118,"Chicago Bulls",112,21.193,"CHI",0,"201911050CHI"
"101",2019,"11","05","8:00p","Orlando Magic",94,"Oklahoma City Thunder",102,18.203,"OKC",0,"201911050OKC"
"102",2019,"11","05","9:00p","Miami Heat",89,"Denver Nuggets",109,18.01,"DEN",0,"201911050DEN"
"103",2019,"11","06","7:00p","New York Knicks",102,"Detroit Pistons",122,15.463,"DET",0,"201911060DET"
"104",2019,"11","06","7:00p","Washington Wizards",106,"Indiana Pacers",121,16.171,"IND",0,"201911060IND"
"105",2019,"11","06","7:30p","Chicago Bulls",113,"Atlanta Hawks",93,15.049,"ATL",0,"201911060ATL"
"106",2019,"11","06","7:30p","Golden State Warriors",112,"Houston Rockets",129,18.055,"HOU",0,"201911060HOU"
"107",2019,"11","06","7:30p","Sacramento Kings",120,"Toronto Raptors",124,19.8,"TOR",0,"201911060TOR"
"108",2019,"11","06","8:00p","Minnesota Timberwolves",121,"Memphis Grizzlies",137,13.503,"MEM",0,"201911060MEM"
"109",2019,"11","06","8:30p","Orlando Magic",106,"Dallas Mavericks",107,19.487,"DAL",0,"201911060DAL"
"110",2019,"11","06","9:00p","Philadelphia 76ers",104,"Utah Jazz",106,18.306,"UTA",0,"201911060UTA"
"111",2019,"11","06","10:00p","Milwaukee Bucks",129,"Los Angeles Clippers",124,19.068,"LAC",0,"201911060LAC"
"112",2019,"11","07","8:00p","Boston Celtics",108,"Charlotte Hornets",87,18.487,"CHO",0,"201911070CHO"
"113",2019,"11","07","8:30p","Oklahoma City Thunder",112,"San Antonio Spurs",121,18.354,"SAS",0,"201911070SAS"
"114",2019,"11","07","9:00p","Miami Heat",124,"Phoenix Suns",108,15.498,"PHO",0,"201911070PHO"
"115",2019,"11","07","10:30p","Portland Trail Blazers",101,"Los Angeles Clippers",107,19.068,"LAC",0,"201911070LAC"
"116",2019,"11","08","7:00p","Detroit Pistons",106,"Indiana Pacers",112,15.544,"IND",0,"201911080IND"
"117",2019,"11","08","7:00p","Memphis Grizzlies",86,"Orlando Magic",118,17.021,"ORL",0,"201911080ORL"
"118",2019,"11","08","7:00p","Cleveland Cavaliers",113,"Washington Wizards",100,16.946,"WAS",0,"201911080WAS"
"119",2019,"11","08","7:30p","Sacramento Kings",121,"Atlanta Hawks",109,16.447,"ATL",0,"201911080ATL"
