400,201912160PHO
401,201912170CHO
402,201912170IND
403,201912170NYK
404,201912170NOP
405,201912170UTA
406,201912170LAC
407,201912180CLE
408,201912180DET
409,201912180PHI
410,201912180WAS
411,201912180MIN
412,201912180OKC
413,201912180DEN
414,201912180DAL
415,201912180POR
416,201912190ATL
417,201912190MIL
418,201912190SAS
419,201912190LAC
420,201912200CLE
421,201912200IND
422,201912200BOS
423,201912200TOR
424,201912200MIA
425,201912200OKC
426,201912200PHI
427,201912200DEN
428,201912200POR
429,201912200GSW
430,201912210CHO
431,201912210BRK
432,201912210DET
433,201912210PHI
434,201912210NYK
435,201912210MEM
436,201912210SAS
437,201912210PHO
438,201912210POR
439,201912220TOR
440,201912220BOS
441,201912220MIL
442,201912220OKC
443,201912220LAL
444,201912230CLE
445,201912230DET
446,201912230IND
447,201912230NYK
448,201912230ORL
449,201912230MIA
450,201912230MEM
451,201912230PHO
452,201912230POR
453,201912230SAC
454,201912230GSW
455,201912250TOR
456,201912250PHI
457,201912250GSW
458,201912250LAL
459,201912250DEN
460,201912260DET
461,201912260BRK
462,201912260DAL
463,201912260OKC
464,201912260SAC
465,201912260UTA
466,201912270BOS
467,201912270CHO
468,201912270ORL
469,201912270ATL
470,201912270MIA
471,201912270GSW
472,201912280DEN
473,201912280BOS
474,201912280NOP
475,201912280CHI
476,201912280HOU
477,201912280MIA
478,201912280MIN
479,201912280WAS
480,201912280GSW
481,201912280MIL
482,201912280SAS
483,201912280SAC
484,201912280POR
485,201912280LAC
486,201912290TOR
487,201912290DEN
488,201912290MEM
489,201912290NOP
490,201912290LAL
491,201912300ORL
492,201912300WAS
493,201912300CHI
494,201912300MIN
495,201912300UTA
496,201912300POR
497,201912310CHO
498,201912310IND
499,201912310SAC
500,201912310HOU
501,201912310SAS
502,201912310TOR
503,201912310OKC
504,202001010WAS
505,202001010NYK
506,202001010MIL
507,202001010LAL
508,202001020CLE
509,202001020IND
510,202001020MIA
511,202001020CHI
512,202001020MIN
513,202001020DAL
514,202001020SAS
515,202001020SAC
516,202001020LAC
517,202001030BOS
518,202001030ORL
519,202001030WAS
520,202001030HOU
521,202001030PHO
522,202001030LAL
523,202001040LAC
524,202001040BRK
525,202001040ORL
526,202001040ATL
527,202001040CLE
528,202001040CHI
529,202001040WAS
530,202001040DAL
531,202001040GSW
532,202001040MIL
533,202001040SAC
534,202001050LAC
535,202001050MIA
536,202001050CLE
537,202001050PHO
538,202001050LAL
539,202001060CHO
540,202001060ORL
541,202001060PHI
542,202001060WAS
543,202001060ATL
544,202001060NOP
545,202001060DAL
546,202001060SAS
547,202001060SAC
548,202001070CLE
549,202001070TOR
550,202001070BRK
551,202001070MEM
552,202001070PHO
553,202001070LAL
554,202001080BOS
555,202001080CHO
556,202001080IND
557,202001080ORL
558,202001080ATL
559,202001080DAL
560,202001080NOP
561,202001080UTA
562,202001080GSW
563,202001090DET
564,202001090PHI
565,202001090MIN
566,202001090OKC
567,202001100WAS
568,202001100NYK
569,202001100BRK
570,202001100CHI
571,202001100MEM
572,202001100PHO
573,202001100UTA
574,202001100DAL
575,202001100SAC
576,202001100LAC
577,202001110HOU
578,202001110BOS
579,202001110DET
580,202001110OKC
581,202001110DAL
582,202001110DEN
583,202001110POR
584,202001120NYK
585,202001120WAS
586,202001120BRK
587,202001120MEM
588,202001120TOR
589,202001120DEN
590,202001120PHO
591,202001130DET
592,202001130IND
593,202001130BOS
594,202001130MIN
595,202001130POR
596,202001130SAC
597,202001130LAL
598,202001140ATL
599,202001140BRK
600,202001140MEM
601,202001140MIL
602,202001140GSW
603,202001140LAC
604,202001150BOS
605,202001150PHI
606,202001150MIA
607,202001150CHI
608,202001150MIN
609,202001150OKC
610,202001150DEN
611,202001150HOU
612,202001150SAC
613,202001150LAL
614,202001160NYK
615,202001160MIL
616,202001160NOP
617,202001160GSW
618,202001160LAC
619,202001170IND
620,202001170PHI
621,202001170TOR
622,202001170MEM
623,202001170OKC
624,202001170SAS
625,202001170DAL
626,202001180NOP
627,202001180BRK
628,202001180BOS
629,202001180ATL
630,202001180NYK
631,202001180CHI
632,202001180MIN
633,202001180GSW
634,202001180HOU
635,202001180OKC
636,202001180UTA
637,202001190SAS
638,202001190DEN
639,202001200WAS
640,202001200ATL
641,202001200BRK
642,202001200CHO
643,202001200CLE
644,202001200HOU
645,202001200MEM
646,202001200MIA
647,202001200MIL
648,202001200BOS
649,202001200MIN
650,202001200PHO
651,202001200UTA
652,202001200POR
653,202001210DAL
654,202001220DET
655,202001220ORL
656,202001220TOR
657,202001220ATL
658,202001220BOS
659,202001220MIA
660,202001220NYK
661,202001220CHI
662,202001220HOU
663,202001220PHO
664,202001220NOP
665,202001220GSW
666,202001230CLE
667,202001230BRK
668,202001230POR
669,202001240CHO
670,202001240DET
671,202001240ORL
672,202001240NYK
673,202001240CHI
674,202001240MIA
675,202001240MIN
676,202001240NOP
677,202001240OKC
678,202001240SAS
679,202001240GSW
680,202001250UTA
681,202001250DET
682,202001250CLE
683,202001250MIN
