0,1,2,3,4,5,6,7
34:42,38:50,YES,YES,25:14,32:38,YES,YES
0,26:11,NO,YES,27:12,0,YES,NO
0,36:39,NO,YES,Did Not Play,36:14,YES,YES
34:26,33:41,YES,YES,41:17,37:44,YES,YES
0,31:44,NO,YES,19:01,31:48,YES,YES
36:24,0,YES,NO,41:10,28:24,YES,YES
Did Not Play,33:09,YES,YES,32:20,34:20,YES,YES
0,35:12,NO,YES,27:51,28:00,YES,YES
0,34:17,NO,YES,Did Not Play,31:54,YES,YES
0,37:26,NO,YES,31:19,20:00,YES,YES
26:10,30:06,YES,YES,33:00,30:08,YES,YES
31:47,16:13,YES,YES,34:34,0,YES,NO
27:31,0,YES,NO,34:28,0,YES,NO
16:46,34:10,YES,YES,31:05,34:07,YES,YES
31:57,40:42,YES,YES,39:49,0,YES,NO
27:15,22:55,YES,YES,29:56,31:22,YES,YES
0,34:09,NO,YES,38:30,0,YES,NO
32:37,35:08,YES,YES,35:13,36:02,YES,YES
34:55,27:37,YES,YES,0,Did Not Dress,NO,YES
28:28,28:00,YES,YES,34:31,30:17,YES,YES
29:39,22:45,YES,YES,24:53,24:56,YES,YES
0,29:40,NO,YES,35:09,31:14,YES,YES
30:44,25:15,YES,YES,0,37:04,NO,YES
0,39:10,NO,YES,24:07,31:23,YES,YES
30:18,30:36,YES,YES,32:54,29:33,YES,YES
19:46,0,YES,NO,32:19,36:54,YES,YES
30:40,23:45,YES,YES,30:04,0,YES,NO
Did Not Play,39:45,YES,YES,35:15,36:27,YES,YES
Did Not Dress,29:31,YES,YES,33:59,33:46,YES,YES
35:06,0,YES,NO,35:12,19:33,YES,YES
30:30,15:36,YES,YES,34:15,32:58,YES,YES
39:42,29:48,YES,YES,0,38:06,NO,YES
37:11,37:35,YES,YES,0,40:09,NO,YES
25:09,24:40,YES,YES,29:38,22:27,YES,YES
36:12,30:30,YES,YES,0,23:38,NO,YES
37:03,31:32,YES,YES,0,25:18,NO,YES
0,37:28,NO,YES,31:44,21:52,YES,YES
39:33,0,YES,NO,0,33:49,NO,YES
32:03,23:17,YES,YES,31:15,30:46,YES,YES
35:27,37:41,YES,YES,29:22,35:11,YES,YES
42:39,0,YES,NO,41:54,38:58,YES,YES
35:53,37:01,YES,YES,31:48,31:02,YES,YES
0,19:18,NO,YES,27:46,24:19,YES,YES
0,36:15,NO,YES,28:57,24:14,YES,YES
30:30,25:07,YES,YES,35:04,31:26,YES,YES
37:33,33:52,YES,YES,0,37:45,NO,YES
38:02,34:11,YES,YES,36:41,29:58,YES,YES
30:23,22:04,YES,YES,27:24,24:36,YES,YES
36:29,36:53,YES,YES,36:37,0,YES,NO
32:19,37:46,YES,YES,33:16,37:46,YES,YES
31:23,0,YES,NO,30:41,26:41,YES,YES
19:58,28:32,YES,YES,19:37,16:06,YES,YES
35:15,33:27,YES,YES,0,24:22,NO,YES
0,0,NO,NO,35:43,12:17,YES,YES
37:24,33:18,YES,YES,19:31,33:41,YES,YES
32:41,27:49,YES,YES,35:50,36:25,YES,YES
25:04,0,YES,NO,21:56,18:53,YES,YES
33:06,28:00,YES,YES,0,40:27,NO,YES
0,23:23,NO,YES,0,34:34,NO,YES
28:25,30:44,YES,YES,34:36,0,YES,NO
34:39,30:40,YES,YES,26:28,27:18,YES,YES
0,38:23,NO,YES,18:25,38:49,YES,YES
36:27,35:59,YES,YES,29:54,33:50,YES,YES
0,Did Not Dress,NO,YES,33:51,0,YES,NO
29:50,32:28,YES,YES,Did Not Play,0,YES,NO
23:28,25:19,YES,YES,21:58,17:40,YES,YES
35:07,37:23,YES,YES,32:47,0,YES,NO
23:38,21:45,YES,YES,21:30,30:12,YES,YES
0,35:04,NO,YES,41:51,0,YES,NO
28:29,17:34,YES,YES,0,36:53,NO,YES
41:08,37:20,YES,YES,38:58,40:46,YES,YES
48:31,48:24,YES,YES,40:54,Did Not Play,YES,YES
36:32,36:53,YES,YES,34:24,35:44,YES,YES
29:54,25:36,YES,YES,28:08,29:50,YES,YES
0,24:36,NO,YES,17:38,35:54,YES,YES
27:55,25:28,YES,YES,30:49,25:19,YES,YES
0,29:59,NO,YES,0,27:31,NO,YES
0,28:55,NO,YES,37:15,0,YES,NO
37:14,37:50,YES,YES,33:58,31:27,YES,YES
28:53,0,YES,NO,33:32,32:36,YES,YES
35:20,31:14,YES,YES,33:25,28:43,YES,YES
37:14,10:43,YES,YES,31:39,29:16,YES,YES
26:02,29:28,YES,YES,27:01,33:04,YES,YES
33:11,0,YES,NO,37:27,33:32,YES,YES
35:10,35:59,YES,YES,38:09,Did Not Dress,YES,YES
24:44,22:11,YES,YES,29:56,21:26,YES,YES
40:24,35:25,YES,YES,36:21,41:50,YES,YES
0,42:27,NO,YES,0,30:24,NO,YES
0,22:07,NO,YES,22:54,33:36,YES,YES
0,29:12,NO,YES,0,31:50,NO,YES
34:16,32:24,YES,YES,31:55,25:43,YES,YES
30:40,34:05,YES,YES,29:53,28:37,YES,YES
0,30:18,NO,YES,34:11,34:58,YES,YES
39:15,0,YES,NO,36:27,36:33,YES,YES
37:01,15:19,YES,YES,37:21,36:24,YES,YES
29:30,23:34,YES,YES,26:21,25:29,YES,YES
44:41,0,YES,NO,39:42,34:53,YES,YES
32:09,33:45,YES,YES,40:44,32:05,YES,YES
0,25:28,NO,YES,26:11,19:41,YES,YES
38:21,0,YES,NO,25:02,35:25,YES,YES
20:03,22:19,YES,YES,0,25:39,NO,YES
0,37:11,NO,YES,39:04,37:15,YES,YES
20:45,Did Not Dress,YES,YES,30:40,32:58,YES,YES
33:39,32:47,YES,YES,0,29:45,NO,YES
35:00,0,YES,NO,20:58,34:08,YES,YES
40:33,40:03,YES,YES,44:11,40:55,YES,YES
36:28,37:45,YES,YES,30:29,39:10,YES,YES
31:36,25:11,YES,YES,36:14,0,YES,NO
32:15,0,YES,NO,35:02,37:12,YES,YES
31:14,28:00,YES,YES,38:34,31:56,YES,YES
35:39,9:30,YES,YES,39:16,27:51,YES,YES
0,29:44,NO,YES,35:50,30:19,YES,YES
26:48,35:30,YES,YES,29:38,29:10,YES,YES
38:46,38:31,YES,YES,34:16,24:48,YES,YES
36:18,0,YES,NO,39:53,36:05,YES,YES
0,32:01,NO,YES,34:43,29:15,YES,YES
34:04,28:22,YES,YES,0,36:51,NO,YES
34:43,12:08,YES,YES,0,36:15,NO,YES
30:24,28:26,YES,YES,33:00,35:16,YES,YES
27:16,29:27,YES,YES,0,33:23,NO,YES
36:46,Did Not Dress,YES,YES,22:23,35:31,YES,YES
41:08,0,YES,NO,41:44,43:31,YES,YES
33:10,5:11,YES,YES,31:06,37:12,YES,YES
27:19,25:41,YES,YES,28:59,25:38,YES,YES
41:16,36:31,YES,YES,32:01,33:31,YES,YES
37:05,35:16,YES,YES,34:50,29:18,YES,YES
36:36,37:55,YES,YES,0,33:59,NO,YES
32:28,29:20,YES,YES,35:13,35:12,YES,YES
20:07,37:04,YES,YES,0,26:11,NO,YES
31:44,0,YES,NO,25:29,22:44,YES,YES
36:27,36:19,YES,YES,36:26,11:25,YES,YES
25:13,33:23,YES,YES,0,39:17,NO,YES
0,32:38,NO,YES,0,30:50,NO,YES
35:05,28:08,YES,YES,24:57,0,YES,NO
29:53,38:08,YES,YES,0,39:29,NO,YES
36:05,36:29,YES,YES,33:52,36:20,YES,YES
38:33,26:00,YES,YES,39:08,39:13,YES,YES
33:39,29:30,YES,YES,29:39,25:46,YES,YES
37:33,35:07,YES,YES,31:01,28:13,YES,YES
38:24,37:26,YES,YES,37:09,35:21,YES,YES
36:14,34:32,YES,YES,0,24:35,NO,YES
0,33:33,NO,YES,31:03,37:30,YES,YES
31:59,32:09,YES,YES,37:22,0,YES,NO
23:59,37:02,YES,YES,35:15,23:35,YES,YES
26:46,35:04,YES,YES,19:25,0,YES,NO
0,0,NO,NO,36:24,35:25,YES,YES
37:11,31:32,YES,YES,35:15,11:40,YES,YES
25:15,30:38,YES,YES,26:37,0,YES,NO
33:59,37:08,YES,YES,0,Did Not Play,NO,YES
0,25:11,NO,YES,34:33,38:54,YES,YES
0,32:52,NO,YES,36:06,36:14,YES,YES
33:57,0,YES,NO,28:44,28:27,YES,YES
43:01,37:29,YES,YES,1:40,39:57,YES,YES
25:54,27:26,YES,YES,23:59,22:40,YES,YES
33:46,30:45,YES,YES,34:53,32:46,YES,YES
15:20,26:57,YES,YES,38:28,0,YES,NO
29:26,28:09,YES,YES,0,26:54,NO,YES
29:18,37:20,YES,YES,34:04,25:20,YES,YES
35:28,36:56,YES,YES,36:27,0,YES,NO
0,28:47,NO,YES,0,21:59,NO,YES
24:34,36:20,YES,YES,35:48,32:37,YES,YES
25:54,0,YES,NO,0,26:10,NO,YES
37:12,0,YES,NO,Did Not Play,28:33,YES,YES
25:17,32:05,YES,YES,35:31,36:41,YES,YES
