,code,acrv,acrh
360,201912110BRK,CHO,BRK
361,201912110CHI,ATL,CHI
362,201912110MIN,UTA,MIN
363,201912110PHO,MEM,PHO
364,201912110MIL,NOP,MIL
365,201912110SAC,OKC,SAC
366,201912110GSW,NYK,GSW
367,201912120BOS,PHI,BOS
368,201912120SAS,CLE,SAS
369,201912120DET,DAL,DET
370,201912120DEN,POR,DEN
371,201912130MIA,LAL,MIA
372,201912130ORL,HOU,ORL
373,201912130PHI,NOP,PHI
374,201912130ATL,IND,ATL
375,201912130CHI,CHO,CHI
376,201912130MEM,MIL,MEM
377,201912130UTA,GSW,UTA
378,201912130MIN,LAC,MIN
379,201912130SAC,NYK,SAC
380,201912140PHO,SAS,PHO
381,201912140TOR,BRK,TOR
382,201912140CHI,LAC,CHI
383,201912140MEM,WAS,MEM
384,201912140DAL,MIA,DAL
385,201912140MIL,CLE,MIL
386,201912140DEN,OKC,DEN
387,201912140HOU,DET,HOU
388,201912150NOP,ORL,NOP
389,201912150IND,CHO,IND
390,201912150ATL,LAL,ATL
391,201912150BRK,PHI,BRK
392,201912150DEN,NYK,DEN
393,201912150GSW,SAC,GSW
394,201912160DET,WAS,DET
395,201912160TOR,CLE,TOR
396,201912160HOU,SAS,HOU
397,201912160MEM,MIA,MEM
398,201912160MIL,DAL,MIL
399,201912160OKC,CHI,OKC
400,201912160PHO,POR,PHO
401,201912170CHO,SAC,CHO
402,201912170IND,LAL,IND
403,201912170NYK,ATL,NYK
404,201912170NOP,BRK,NOP
405,201912170UTA,ORL,UTA
406,201912170LAC,PHO,LAC
407,201912180CLE,CHO,CLE
408,201912180DET,TOR,DET
409,201912180PHI,MIA,PHI
410,201912180WAS,CHI,WAS
411,201912180MIN,NOP,MIN
412,201912180OKC,MEM,OKC
413,201912180DEN,ORL,DEN
414,201912180DAL,BOS,DAL
415,201912180POR,GSW,POR
416,201912190ATL,UTA,ATL
417,201912190MIL,LAL,MIL
418,201912190SAS,BRK,SAS
419,201912190LAC,HOU,LAC
420,201912200CLE,MEM,CLE
421,201912200IND,SAC,IND
422,201912200BOS,DET,BOS
423,201912200TOR,WAS,TOR
424,201912200MIA,NYK,MIA
425,201912200OKC,PHO,OKC
426,201912200PHI,DAL,PHI
427,201912200DEN,MIN,DEN
428,201912200POR,ORL,POR
429,201912200GSW,NOP,GSW
430,201912210CHO,UTA,CHO
431,201912210BRK,ATL,BRK
432,201912210DET,CHI,DET
433,201912210PHI,WAS,PHI
434,201912210NYK,MIL,NYK
435,201912210MEM,SAC,MEM
436,201912210SAS,LAC,SAS
437,201912210PHO,HOU,PHO
438,201912210POR,MIN,POR
439,201912220TOR,DAL,TOR
440,201912220BOS,CHO,BOS
441,201912220MIL,IND,MIL
442,201912220OKC,LAC,OKC
443,201912220LAL,DEN,LAL
444,201912230CLE,ATL,CLE
445,201912230DET,PHI,DET
446,201912230IND,TOR,IND
447,201912230NYK,WAS,NYK
448,201912230ORL,CHI,ORL
449,201912230MIA,UTA,MIA
450,201912230MEM,SAS,MEM
451,201912230PHO,DEN,PHO
452,201912230POR,NOP,POR
453,201912230SAC,HOU,SAC
454,201912230GSW,MIN,GSW
455,201912250TOR,BOS,TOR
456,201912250PHI,MIL,PHI
457,201912250GSW,HOU,GSW
458,201912250LAL,LAC,LAL
